IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
3801,valle del cauca,cartago,Institución tecnológica,No oficial,12.16,15.62,16.11,18.2,18.1,3.46,Medio,True
4825,risaralda,pereira,Institución técnica profesional,No oficial,11.77,15.51,19.19,14.86,14.19,3.74,Medio,True
9128,bogota d c,bogota dc,Institución tecnológica,No oficial,18.43,15.47,14.91,15.81,27.69,-2.96,Medio,False
9914,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,16.2,15.47,28.28,15.4,23.68,-0.73,Medio,False
3819,bogota d c,bogota dc,Institución tecnológica,No oficial,13.59,15.38,29.53,15.67,68.58,1.79,Medio,True
3706,valle del cauca,cali,Institución tecnológica,No oficial,14.16,15.36,16.3,15.9,15.88,1.2,Medio,True
2749,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,16.63,15.33,17.74,15.37,15.79,-1.3,Medio,False
3812,antioquia,bello,Institución universitaria/Escuela Tecnológica,No oficial,15.32,15.31,21.66,14.93,21.67,-0.01,Medio,False
3718,norte de santander,cucuta,Institución tecnológica,No oficial,12.44,15.24,19.92,16.67,22.24,2.8,Medio,True
3114,atlantico,barranquilla,Institución tecnológica,Oficial,5.45,15.23,15.66,14.59,4.93,9.78,Medio,True
4726,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,16.78,15.23,28.44,14.83,32.58,-1.55,Medio,False
2837,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,17.06,15.16,18.54,14.99,17.92,-1.9,Medio,False
4101,valle del cauca,roldanillo,Institución técnica profesional,Oficial,8.14,15.14,20.67,14.61,18.32,7.0,Medio,True
4817,atlantico,barranquilla,Institución técnica profesional,No oficial,11.71,15.14,26.61,16.69,96.81,3.43,Medio,True
9127,antioquia,sabaneta,Institución universitaria/Escuela Tecnológica,No oficial,15.57,15.07,15.09,14.59,30.75,-0.5,Medio,False
3808,bogota d c,bogota dc,Institución tecnológica,No oficial,9.88,14.98,15.22,15.45,12.88,5.1,Medio,True
4111,magdalena,cienaga,Institución universitaria/Escuela Tecnológica,Oficial,9.06,14.97,24.05,21.38,18.43,5.91,Medio,True
2748,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,No oficial,15.29,14.85,15.05,14.46,37.97,-0.44,Medio,False
3702,bogota d c,bogota dc,Institución tecnológica,No oficial,10.57,14.77,10.24,15.3,13.71,4.2,Medio,True
2836,atlantico,barranquilla,Institución universitaria/Escuela Tecnológica,No oficial,6.87,14.65,10.27,14.5,19.38,7.78,Medio,True
2104,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,Oficial,14.74,14.55,13.1,14.8,9.32,-0.19,Medio,False
3719,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,13.74,14.53,20.32,14.61,25.71,0.79,Medio,True
9119,atlantico,barranquilla,Institución universitaria/Escuela Tecnológica,No oficial,14.05,14.45,19.03,14.64,22.77,0.4,Medio,True
3302,antioquia,medellin,Institución universitaria/Escuela Tecnológica,Oficial,14.44,14.4,20.2,14.05,17.19,-0.04,Medio,False
2830,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,15.4,14.27,26.99,14.41,17.35,-1.13,Medio,False
9120,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,14.9,14.22,15.0,14.3,17.53,-0.68,Medio,False
4822,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,16.68,14.03,19.18,14.68,30.03,-2.65,Medio,False
1819,santander,barrancabermeja,Universidad,No oficial,11.03,14.02,11.14,14.08,7.16,2.99,Medio,True
2731,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,No oficial,16.71,13.86,18.63,14.33,14.29,-2.85,Medio,False
9903,bogota d c,bogota dc,Institución tecnológica,No oficial,12.11,13.71,21.82,14.99,20.88,1.6,Medio,True
1109,boyaca,chiquinquira,Universidad,Oficial,7.23,13.68,4.91,12.64,6.22,6.45,Medio,True
3817,narino,pasto,Institución universitaria/Escuela Tecnológica,No oficial,13.16,13.55,15.09,14.02,15.81,0.39,Medio,True
3806,valle del cauca,cali,Institución tecnológica,No oficial,7.65,13.53,19.87,14.61,16.22,5.88,Medio,True
2827,meta,villavicencio,Institución universitaria/Escuela Tecnológica,No oficial,13.96,13.51,20.22,13.36,19.17,-0.45,Medio,False
2725,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,13.46,13.51,16.9,13.67,18.17,0.05,Medio,True
9129,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,13.05,13.42,15.82,14.12,16.82,0.37,Medio,True
3107,antioquia,medellin,Institución universitaria/Escuela Tecnológica,Oficial,12.16,13.34,20.63,13.68,11.06,1.18,Medio,True
1801,bogota d c,bogota dc,Universidad,No oficial,15.43,13.3,13.64,14.32,15.63,-2.13,Medio,False
2834,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,12.68,13.3,16.58,13.58,13.04,0.62,Medio,True
3713,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,13.43,13.29,15.6,13.36,16.03,-0.14,Medio,False
2738,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,11.97,13.28,8.16,13.91,7.55,1.31,Medio,True
2207,santander,barrancabermeja,Institución universitaria/Escuela Tecnológica,Oficial,10.6,13.24,12.21,13.48,13.25,2.64,Medio,True
9905,huila,rivera,Institución universitaria/Escuela Tecnológica,No oficial,15.44,13.23,13.79,13.39,15.24,-2.21,Medio,False
4806,bogota d c,bogota dc,Institución técnica profesional,No oficial,13.33,13.17,39.58,15.36,24.0,-0.16,Medio,False
2733,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,12.42,13.16,18.97,14.03,22.02,0.74,Medio,True
1122,valle del cauca,buenaventura,Universidad,Oficial,7.07,13.15,10.07,14.2,14.1,6.08,Medio,True
9131,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,15.0,13.07,13.22,13.4,14.87,-1.93,Medio,False
2740,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,9.76,13.06,8.57,13.93,8.82,3.3,Medio,True
4818,atlantico,barranquilla,Institución universitaria/Escuela Tecnológica,No oficial,11.34,13.04,16.08,14.23,20.39,1.7,Medio,True
3303,antioquia,envigado,Institución tecnológica,Oficial,12.92,12.82,21.62,14.3,15.77,-0.1,Medio,False
2723,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,11.74,12.65,10.41,13.07,13.24,0.91,Medio,True
2745,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,12.81,12.65,18.32,12.97,20.4,-0.16,Medio,False
2812,bogota d c,bogota dc,Universidad,No oficial,15.07,12.48,12.39,12.72,12.32,-2.59,Medio,False
1804,atlantico,barranquilla,Universidad,No oficial,11.19,12.37,14.4,13.09,12.49,1.18,Medio,True
3803,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,No oficial,10.63,12.2,15.16,13.26,13.69,1.57,Medio,True
2110,antioquia,medellin,Institución universitaria/Escuela Tecnológica,Oficial,11.74,12.08,12.85,12.58,11.78,0.34,Medio,True
3720,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,11.44,11.97,13.84,11.9,17.58,0.53,Medio,True
4810,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,9.94,11.92,8.16,12.39,6.69,1.98,Medio,True
5802,bogota d c,bogota dc,Universidad,No oficial,11.16,11.92,12.94,12.15,16.7,0.76,Medio,True
1704,bogota d c,bogota dc,Universidad,No oficial,11.5,11.83,14.21,11.78,12.2,0.33,Medio,True
2849,cauca,popayan,Institución universitaria/Escuela Tecnológica,No oficial,11.52,11.82,14.55,11.76,11.97,0.3,Medio,True
9124,antioquia,marinilla,Institución tecnológica,No oficial,3.57,11.81,4.17,11.73,2.94,8.24,Medio,True
2833,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,11.39,11.78,13.33,11.51,12.6,0.39,Medio,True
2823,sucre,sincelejo,Institución universitaria/Escuela Tecnológica,No oficial,12.0,11.77,13.3,11.42,12.71,-0.23,Medio,False
2850,sucre,sincelejo,Institución universitaria/Escuela Tecnológica,No oficial,11.35,11.71,14.79,11.44,18.24,0.36,Medio,True
2736,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,12.5,11.71,9.21,12.2,10.49,-0.79,Medio,False
3703,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,11.84,11.7,12.78,11.68,12.47,-0.14,Medio,False
1728,bogota d c,bogota dc,Universidad,No oficial,12.38,11.68,10.9,11.69,10.45,-0.7,Medio,False
1717,antioquia,medellin,Universidad,No oficial,11.62,11.66,11.24,11.46,10.77,0.04,Medio,True
2209,antioquia,medellin,Institución universitaria/Escuela Tecnológica,Oficial,11.08,11.6,13.94,11.47,11.6,0.52,Medio,True
1802,quindio,armenia,Universidad,No oficial,11.06,11.46,12.31,11.35,13.97,0.4,Medio,True
2818,risaralda,santa rosa de cabal,Institución universitaria/Escuela Tecnológica,No oficial,8.31,11.44,13.8,12.36,11.08,3.13,Medio,True
2102,bogota d c,bogota dc,Universidad,Oficial,10.37,11.4,15.44,11.75,13.26,1.03,Medio,True
1806,bogota d c,bogota dc,Universidad,No oficial,12.74,11.39,9.35,12.05,13.64,-1.35,Medio,False
2724,santander,san gil,Institución universitaria/Escuela Tecnológica,No oficial,11.63,11.37,13.88,11.29,11.69,-0.26,Medio,False
1719,bogota d c,bogota dc,Universidad,No oficial,11.23,11.28,11.75,11.83,14.22,0.05,Medio,True
1810,norte de santander,cucuta,Universidad,No oficial,13.01,11.25,11.02,12.31,17.98,-1.76,Medio,False
2820,antioquia,caldas,Institución universitaria/Escuela Tecnológica,No oficial,10.19,11.22,11.62,11.42,10.06,1.03,Medio,True
2713,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,9.98,11.16,12.58,11.55,13.47,1.18,Medio,True
1814,antioquia,medellin,Universidad,No oficial,10.0,11.13,13.31,11.43,12.49,1.13,Medio,True
2829,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,10.01,11.07,15.84,11.45,14.49,1.06,Medio,True
1705,santander,bucaramanga,Universidad,No oficial,10.63,11.0,9.51,12.13,12.15,0.37,Medio,True
