lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
13.1,16.84,14.41,16.32,1,Institución tecnológica,No oficial,valle del cauca,cartago
16.84,14.41,16.32,19.95,2,Institución tecnológica,No oficial,valle del cauca,cartago
14.41,16.32,19.95,8.05,1,Institución tecnológica,No oficial,valle del cauca,cartago
16.32,19.95,8.05,13.33,2,Institución tecnológica,No oficial,valle del cauca,cartago
19.95,8.05,13.33,11.42,1,Institución tecnológica,No oficial,valle del cauca,cartago
0.0,0.0,0.45,25.21,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
0.0,0.45,25.21,35.22,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
0.45,25.21,35.22,28.04,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
25.21,35.22,28.04,19.76,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
35.22,28.04,19.76,15.34,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
28.04,19.76,15.34,14.7,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
19.76,15.34,14.7,21.36,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
15.34,14.7,21.36,22.96,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
14.7,21.36,22.96,21.58,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
21.36,22.96,21.58,17.5,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
22.96,21.58,17.5,27.48,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
21.58,17.5,27.48,40.27,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
17.5,27.48,40.27,19.35,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
27.48,40.27,19.35,14.72,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
40.27,19.35,14.72,13.31,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
19.35,14.72,13.31,14.87,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
14.72,13.31,14.87,13.35,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
